,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
373,Sonoita,31.85,-112.83,95.81,37,26,15.64,MX,1595462168
374,Puro,12.48,123.38,83.53,76,4,8.61,PH,1595462168
375,Banda Aceh,5.56,95.32,78.44,76,100,6.87,ID,1595462169
376,Maniitsoq,65.42,-52.9,55.04,71,1,13.71,GL,1595462169
377,Payo,-3.75,103.64,70.88,93,92,1.99,ID,1595462169
378,Khunti,23.08,85.28,75.2,94,75,7.9,IN,1595462169
379,Mossamedes,-15.2,12.15,65.55,64,0,2.98,AO,1595462169
380,Souillac,-20.52,57.52,69.8,68,75,11.41,MU,1595462169
381,Zaozyornoye,45.16,33.28,70.72,60,0,12.5,UA,1595462169
382,Moorhead,46.87,-96.77,77.0,53,1,8.05,US,1595462169
383,Rawson,-43.3,-65.1,41.68,71,100,13.91,AR,1595462169
384,Cedar Rapids,42.01,-91.64,78.01,61,1,10.29,US,1595462169
385,Katsuura,35.13,140.3,78.01,91,100,1.01,JP,1595462169
386,Sarangani,5.4,125.46,81.66,80,100,15.39,PH,1595462170
387,Pāvilosta,56.89,21.19,60.8,77,44,10.29,LV,1595462170
388,Harper,4.38,-7.72,75.56,85,97,9.08,LR,1595462170
389,Karratha,-20.74,116.85,70.16,41,1,8.81,AU,1595462170
390,Quzhou,28.96,118.87,85.17,71,85,4.29,CN,1595462170
391,Naze,28.37,129.48,84.2,83,75,4.7,JP,1595462170
392,Itarema,-2.92,-39.92,76.82,74,2,12.19,BR,1595462170
393,Tomarovka,50.68,36.23,53.6,76,0,6.71,RU,1595462171
394,Alice Springs,-23.7,133.88,46.4,46,0,3.36,AU,1595462127
395,Villafranca de los Barros,38.56,-6.34,78.01,53,0,3.0,ES,1595462171
396,Kasungu,-13.03,33.48,51.49,82,20,3.33,MW,1595462171
397,Dingle,11.0,122.67,82.45,82,50,4.94,PH,1595462171
398,Berdigestyakh,62.1,126.7,68.76,64,0,6.29,RU,1595462171
399,Jiancheng,30.39,104.55,75.2,78,40,2.28,CN,1595462171
400,Salé,34.04,-6.82,73.0,94,40,4.7,MA,1595462171
401,Pundaguitan,6.37,126.17,82.62,73,100,8.93,PH,1595462171
402,Kaihua,23.37,104.28,68.18,88,68,7.83,CN,1595462172
403,Zhigalovo,54.81,105.16,62.46,76,100,3.38,RU,1595462172
404,Taoudenni,22.68,-3.98,102.4,20,57,19.46,ML,1595462172
405,Sistranda,63.73,8.83,50.0,87,40,13.87,NO,1595462172
406,Argelia,2.26,-77.25,66.85,79,98,0.72,CO,1595462172
407,Safi,32.3,-9.24,70.34,87,0,12.12,MA,1595462009
408,Vestmanna,62.16,-7.17,46.4,93,96,1.12,FO,1595462172
409,Trairi,-3.28,-39.27,76.64,77,9,8.99,BR,1595462172
410,Zyryanovsk,49.74,84.27,58.55,85,89,0.58,KZ,1595462172
411,Alugan,12.22,125.48,84.56,72,56,7.0,PH,1595462071
412,Phuntsholing,26.85,89.39,75.47,80,94,1.74,BT,1595462172
413,Broome,42.25,-75.83,82.0,57,75,5.82,US,1595462173
414,Mount Gambier,-37.83,140.77,46.4,93,90,6.93,AU,1595462173
415,Batemans Bay,-35.72,150.18,54.0,71,85,3.0,AU,1595461896
416,Nishihara,26.18,127.76,86.0,70,75,8.05,JP,1595462173
417,Mabay,6.06,124.47,83.26,67,85,3.78,PH,1595462173
418,Charters Towers,-20.1,146.27,64.81,77,84,8.43,AU,1595462173
419,Svarstad,59.4,9.97,50.0,1,11,5.35,NO,1595462173
420,Huangnihe,43.56,128.02,71.49,62,4,4.03,CN,1595462173
421,Māngrol,21.12,70.12,82.76,81,99,13.51,IN,1595462173
422,Polunochnoye,60.87,60.42,54.64,81,59,2.57,RU,1595462174
423,Beringovskiy,63.05,179.32,50.04,76,0,11.7,RU,1595462174
424,Tugdan,12.31,122.09,84.45,75,5,6.24,PH,1595462174
425,Gigmoto,13.78,124.39,85.06,71,15,6.4,PH,1595462174
426,Sulangan,11.14,123.72,83.62,77,24,9.4,PH,1595462174
427,Buraidah,26.33,43.98,95.0,19,20,8.05,SA,1595462174
428,Şırnak,37.52,42.46,71.64,22,0,5.32,TR,1595462174
429,Belmonte,-15.86,-38.88,71.6,68,0,3.36,BR,1595462174
430,Hūn,29.13,15.95,69.01,69,0,2.91,LY,1595462174
431,Korla,41.76,86.15,72.12,50,83,11.41,CN,1595462174
432,Smolenka,52.14,113.5,66.2,77,20,4.47,RU,1595462175
433,Cartagena del Chairá,1.33,-74.84,73.35,94,90,1.16,CO,1595462175
434,Bonavista,48.65,-53.11,62.29,68,75,4.03,CA,1595462175
435,Bontang,0.13,117.5,76.68,91,100,6.8,ID,1595462022
436,‘Āhuimanu,21.44,-157.84,84.2,62,40,6.93,US,1595462175
437,Ust'-Barguzin,53.45,108.98,55.78,94,100,1.19,RU,1595462175
438,Vila Franca do Campo,37.72,-25.43,66.2,72,40,1.12,PT,1595462175
439,Auki,-8.77,160.7,83.73,69,94,7.65,SB,1595462175
440,Östersund,63.18,14.64,44.6,87,71,18.34,SE,1595462175
441,Velsk,61.07,42.1,56.03,96,89,6.13,RU,1595462175
442,Labuhan,-6.88,112.21,76.41,84,45,9.37,ID,1595462034
443,Tokmak,47.25,35.71,61.34,67,26,5.97,UA,1595462176
444,Saint-Augustin,51.23,-58.65,66.0,51,95,9.48,CA,1595462040
445,Nantucket,41.28,-70.1,71.6,94,90,8.05,US,1595462040
446,Kloulklubed,7.04,134.26,80.6,88,75,6.8,PW,1595462176
447,Sarankhola,22.31,89.79,79.57,89,99,5.55,BD,1595462176
448,West Wendover,40.74,-114.07,75.2,38,75,29.97,US,1595462176
449,Sittwe,20.15,92.9,80.4,84,100,6.98,MM,1595462176
450,The Valley,18.22,-63.06,84.2,70,20,10.29,AI,1595462176
451,Bāfq,31.61,55.41,74.61,18,0,2.48,IR,1595462177
452,Pascagoula,30.37,-88.56,87.8,66,20,8.05,US,1595462177
453,Deputatsky,69.3,139.9,71.38,48,89,5.12,RU,1595462177
454,Santarém,-2.44,-54.71,78.8,88,20,3.47,BR,1595462047
455,Ust-Maya,60.42,134.53,66.52,51,64,10.33,RU,1595462177
456,Hadejia,12.45,10.04,81.07,65,89,5.01,NG,1595462177
457,Megion,61.03,76.11,53.6,81,75,4.47,RU,1595462078
458,Necochea,-38.55,-58.74,46.99,60,100,21.99,AR,1595462177
459,Rome,43.21,-75.46,75.2,83,40,8.05,US,1595462157
460,Son La,21.32,103.9,71.44,90,9,1.01,VN,1595462177
461,Fasa,28.94,53.65,78.8,39,0,0.54,IR,1595462178
462,Fairbanks,64.84,-147.72,63.0,77,20,6.93,US,1595461878
463,Tutóia,-2.76,-42.27,78.37,77,19,8.77,BR,1595462178
464,Russell,32.35,-85.2,95.0,39,1,9.17,US,1595462178
465,Torbat-e Jām,35.24,60.62,77.81,17,0,10.49,IR,1595462178
466,Palpa,-14.53,-75.19,61.5,65,0,1.01,PE,1595462178
467,Orcopampa,-15.27,-72.34,46.85,48,45,4.56,PE,1595462178
468,Cusuna,15.85,-85.23,81.57,82,65,8.08,HN,1595462178
469,Mürzzuschlag,47.6,15.68,63.0,83,98,0.49,AT,1595462178
470,Myitkyina,25.38,97.4,74.57,96,100,0.96,MM,1595462178
471,Roswell,34.02,-84.36,84.2,70,20,7.27,US,1595462179
472,Matadi,-5.82,13.45,69.3,80,86,1.9,CD,1595462179
473,Mhango,-3.28,32.85,63.12,54,29,3.58,TZ,1595462179
474,Pingliang,35.54,106.69,64.42,88,99,5.82,CN,1595462054
475,Kahramanmaraş Province,38.0,37.0,75.2,69,0,2.24,TR,1595462179
476,Sobolevo,54.43,31.9,49.73,95,0,9.62,RU,1595462007
477,Neuquén,-38.95,-68.06,37.4,93,90,9.17,AR,1595462179
478,Nyagan,62.14,65.39,53.85,74,0,6.26,RU,1595462179
479,Makat,47.65,53.35,78.37,36,2,8.72,KZ,1595462179
480,Mackay,-21.15,149.2,62.6,93,90,8.05,AU,1595462180
481,Khovd,48.01,91.64,62.46,62,3,1.95,MN,1595462180
482,Cabedelo,-6.98,-34.83,75.2,78,3,9.17,BR,1595462180
483,Loíza,18.43,-65.88,82.4,74,40,11.41,PR,1595462180
484,Whitehorse,60.72,-135.05,57.99,87,75,5.82,CA,1595462180
485,Lethem,3.38,-59.8,76.53,86,99,1.66,GY,1595462180
486,Tual,-5.67,132.75,79.52,83,45,19.39,ID,1595462180
487,Guaranda,-1.6,-79.0,54.46,85,97,2.48,EC,1595462180
488,Manakara,-22.13,48.02,61.11,77,57,4.36,MG,1595462180
489,Isla Vista,34.41,-119.86,77.0,68,40,11.41,US,1595462180
490,Novobirilyussy,56.95,90.67,50.97,96,13,6.44,RU,1595462181
491,Tura,25.52,90.22,73.45,98,100,5.01,IN,1595462181
492,Husavik,66.04,-17.34,48.2,81,90,6.93,IS,1595462181
493,Paamiut,61.99,-49.67,46.9,85,83,11.18,GL,1595462181
494,Asău,46.43,26.4,59.0,99,98,1.28,RO,1595462181
495,Deniliquin,-35.53,144.97,46.0,89,0,5.73,AU,1595462181
496,Atar,20.52,-13.05,93.0,32,35,7.99,MR,1595462027
497,Mana,5.66,-53.78,77.83,87,90,7.25,GF,1595462181
498,Chabahar,25.29,60.64,84.06,76,39,6.71,IR,1595462181
499,Minudasht,37.23,55.37,78.8,83,53,4.7,IR,1595462181
500,Nyurba,63.28,118.33,66.34,69,43,6.06,RU,1595462182
501,Talnakh,69.49,88.4,48.2,87,1,22.37,RU,1595462182
502,Port-Gentil,-0.72,8.78,75.2,94,20,12.82,GA,1595462182
503,Arlit,18.74,7.39,93.7,32,25,8.93,NE,1595462052
504,Salalah,17.02,54.09,78.8,94,90,11.41,OM,1595462182
505,Rørvik,64.86,11.24,53.69,75,93,19.75,NO,1595462018
506,Maţāy,28.42,30.78,73.27,76,0,9.78,EG,1595462182
507,Pemberton,50.32,-122.8,73.4,53,40,5.82,CA,1595462182
508,San Cristobal,7.77,-72.22,84.2,62,40,9.17,VE,1595462070
509,Djibo,14.1,-1.63,92.23,39,60,8.88,BF,1595462182
510,Aykhal,66.0,111.5,53.6,93,90,8.95,RU,1595462183
511,Rocha,-34.48,-54.33,66.38,95,100,8.48,UY,1595462145
512,Sola,-13.88,167.55,84.2,66,75,5.82,VU,1595462183
513,Lubango,-14.92,13.49,53.6,41,0,3.42,AO,1595462122
514,Trossingen,48.08,8.64,60.01,70,0,1.79,DE,1595462183
515,Natal,-5.79,-35.21,78.8,69,75,10.29,BR,1595462183
516,Zaysan,47.47,84.87,65.71,62,58,1.79,KZ,1595462183
517,Fort Dix,40.03,-74.62,81.0,88,90,8.05,US,1595461905
518,Sept-Îles,50.2,-66.38,69.01,68,75,3.36,CA,1595462034
519,Gilleleje,56.12,12.31,57.0,81,50,1.01,DK,1595462183
520,Juazeiro,-9.41,-40.5,73.09,71,91,19.84,BR,1595462183
521,Marsá Maţrūḩ,31.35,27.25,74.01,78,0,10.92,EG,1595462184
522,Hirara,24.8,125.28,86.0,74,40,6.93,JP,1595462184
523,Kumul,42.8,93.45,82.27,27,98,8.84,CN,1595462184
524,Zhigansk,66.77,123.37,62.38,67,18,22.39,RU,1595462184
525,Tateyama,34.98,139.87,78.01,94,75,2.24,JP,1595462184
526,Samarai,-10.62,150.67,77.9,81,18,11.61,PG,1595462184
527,Cidreira,-30.18,-50.21,65.5,71,95,9.82,BR,1595462013
528,Åmot,59.57,7.99,46.99,79,4,4.92,NO,1595462184
529,Lang Son,21.83,106.73,78.64,83,19,2.53,VN,1595462184
530,Vostok,46.49,135.88,69.49,89,98,2.39,RU,1595462184
531,Khasan,42.43,130.64,67.95,90,28,9.86,RU,1595462185
532,Onguday,50.75,86.15,55.71,80,92,0.2,RU,1595462185
533,Mahayag,8.12,123.45,81.7,77,100,1.07,PH,1595462185
534,Aksu,41.12,80.26,71.78,45,37,4.0,CN,1595462185
535,Kamina,-8.74,24.99,59.72,44,56,3.27,CD,1595462185
536,Sergeevka,53.88,67.42,57.99,77,100,8.55,KZ,1595462185
537,Drabiv,49.96,32.15,55.36,75,0,6.91,UA,1595462185
538,Vila Velha,-20.33,-40.29,75.99,83,0,6.93,BR,1595462185
539,Laem Sing,12.48,102.07,82.0,88,30,4.7,TH,1595462185
540,Mezen',65.85,44.24,63.73,78,3,9.91,RU,1595462015
541,Laas,46.62,10.7,55.4,87,75,4.7,IT,1595462186
542,Bokoro,12.38,17.06,77.9,77,71,5.7,TD,1595462186
543,Mīrābād,30.44,61.84,79.74,23,0,7.67,AF,1595462186
544,Pangnirtung,66.15,-65.71,54.7,65,100,5.23,CA,1595462186
545,Kpandu,7.0,0.29,73.98,90,100,7.65,GH,1595462186
546,Pasco,28.29,-82.42,78.01,93,99,8.86,US,1595462186
547,Leshukonskoye,64.9,45.76,63.46,80,23,8.68,RU,1595462186
548,Flagstaff,35.2,-111.65,78.01,36,20,4.7,US,1595462049
549,Kashgar,39.45,75.98,68.0,40,0,8.95,CN,1595462186
550,São Félix do Xingu,-6.64,-51.99,76.17,51,9,2.01,BR,1595462186
551,Vao,-22.67,167.48,67.57,74,97,18.52,NC,1595462187
